,llovieron_hamburguesas_al_dia_siguiente
74816,si
64318,no
54357,si
1762,si
89422,no
76987,no
33188,no
53900,si
106854,no
89555,no
18773,no
47524,si
107906,no
52684,no
19307,no
114819,no
21219,no
5618,si
100289,no
6521,no
14610,no
39814,no
101798,no
95330,no
100474,no
17098,no
82074,no
109434,no
4542,no
33156,no
65036,no
94174,si
2122,no
87369,si
114431,no
93310,no
96613,si
49781,si
44241,si
111050,no
14869,no
26158,no
102873,no
97881,no
45000,no
7144,no
37602,no
37240,no
105140,no
6839,no
108373,si
110914,si
92329,no
43278,no
102104,no
8065,no
54206,no
79385,no
45637,si
81482,si
103632,si
68656,no
48408,si
4384,no
76851,no
42329,no
52968,no
1796,si
97100,no
105556,no
72628,no
94457,no
53035,no
49158,si
92796,no
30735,no
107643,no
100938,no
91567,si
78837,no
108500,si
112297,no
3881,no
25804,si
92112,no
81982,no
71694,si
22216,si
64112,no
20955,no
46256,no
84881,no
104119,si
74086,si
3947,no
74138,no
87440,si
15644,si
21283,no
93794,no
59507,no
66370,no
1880,no
56374,no
1078,no
104396,no
55816,no
336,no
83022,no
1374,no
68825,si
6439,no
98765,no
55170,si
34261,no
29691,no
48874,si
874,no
60010,no
7309,no
11156,no
105721,si
65695,no
80673,no
101704,si
62247,no
87518,no
91011,no
98459,no
91729,no
21460,no
96419,no
33541,no
96614,si
45578,si
11738,no
70549,si
7489,no
91524,no
47430,si
59194,no
29994,no
62356,si
52896,no
92028,si
74008,no
14552,si
26551,si
85654,no
87441,no
89259,no
79783,si
28411,no
90417,si
36281,no
21813,si
69496,no
33628,no
57678,si
77336,no
19556,no
11858,no
51540,no
27455,no
99443,si
43492,si
265,no
17305,no
68890,no
78528,no
43380,no
58518,no
56376,no
61801,no
60826,si
93063,si
39626,si
115309,no
2203,no
3421,si
12879,no
27545,no
28966,no
87466,si
40601,no
53063,no
84461,no
38683,no
16096,no
56390,si
7543,si
54800,no
98849,no
43933,no
17609,no
110292,no
91139,no
38393,no
3032,no
7628,si
36722,no
67642,no
102032,no
11578,no
10983,no
109858,no
52029,no
91175,no
28717,no
24611,no
86976,no
2908,no
12870,no
97704,no
107512,no
13447,si
95442,no
995,no
71672,no
55244,no
97967,si
9883,no
92605,no
10714,no
6224,no
89117,no
60154,no
98797,no
91872,no
83408,no
201,no
56026,si
2322,no
74392,no
44016,no
83776,si
56790,no
24641,no
65336,no
87405,no
27559,no
42515,no
9565,no
114064,no
5727,si
12619,si
34573,si
32945,no
113484,no
816,no
70123,no
59252,si
26960,no
73116,si
66008,no
22721,no
71475,no
51804,no
97363,no
9700,si
60885,no
80489,no
106416,no
59095,si
82658,no
15139,no
71055,no
116024,no
59899,no
41258,no
62432,no
5152,si
7584,no
6518,si
4968,no
2289,no
85200,no
115673,no
31695,no
61994,no
17034,si
14259,no
75118,no
44006,si
89746,si
80100,no
24575,no
104388,no
75066,no
5795,no
4442,no
91959,no
54073,si
85017,no
58176,no
72661,no
62000,no
116346,no
25370,no
94655,si
52581,no
72694,no
10608,no
113942,si
89553,no
44841,no
89015,no
1533,si
23679,no
12773,no
49801,no
105303,no
61697,si
92462,no
49633,si
97042,no
55192,no
111658,no
114961,si
50757,no
95461,no
21044,no
112213,si
57898,no
47704,no
38006,no
96390,no
2320,no
61495,no
109141,si
109031,no
36257,no
37287,no
20837,si
33486,no
48383,no
104564,si
100283,si
110580,no
26465,no
1146,si
32163,no
67573,no
34769,no
86616,si
108600,no
108868,no
28381,no
14599,no
59402,no
21122,si
9988,no
6511,no
111121,si
6006,si
54991,no
102204,no
28117,si
61535,no
214,no
105877,no
45937,si
5782,si
80842,no
87207,si
40230,no
71391,no
91799,no
91896,no
12697,si
38486,si
24094,no
108124,no
3122,si
41710,no
25128,no
90507,si
113758,no
15373,no
46779,no
111123,no
27981,no
86335,no
985,si
14439,si
102136,no
8585,no
7959,no
51893,no
72623,no
29219,no
63350,si
32474,no
53009,no
114119,no
77507,no
100182,no
35114,si
22543,no
79793,no
53197,no
97738,si
28326,no
96045,no
94787,no
115473,no
64495,no
73025,no
109920,no
83197,no
29451,no
26222,si
56113,si
94615,si
101842,si
15140,no
8563,no
28732,no
63503,no
80507,si
51413,si
27804,no
75706,no
60025,no
85805,no
8698,no
86768,si
16636,si
24888,no
93457,no
63013,no
26097,no
96244,no
77159,no
69486,si
96289,no
102950,si
34488,no
75881,no
115450,no
19781,si
114692,no
29147,si
6695,si
33849,no
78811,no
13034,no
40937,no
93739,si
29569,no
58044,no
39513,no
102002,no
24735,no
55898,no
16018,no
82274,no
78538,no
84209,si
52250,no
56945,no
92992,si
103638,si
105887,no
89073,no
107183,no
84489,si
100093,no
61335,si
1504,no
42792,no
75461,si
87433,no
54504,no
110763,si
1630,no
9063,no
81551,si
74370,no
64750,no
71895,no
98650,si
95760,no
95488,si
39473,si
61555,no
109259,no
73390,no
78559,no
102895,no
96128,no
71062,no
24559,si
59848,no
34012,no
92334,no
69633,no
107171,no
81019,no
98137,no
74676,no
22777,no
34331,no
158,no
7888,no
106762,no
49698,no
68565,no
103128,no
107499,si
36746,si
77366,no
44136,si
48716,si
104516,no
85929,no
103852,no
25984,no
104422,si
111803,no
3698,no
95405,no
20030,no
47443,no
53207,no
24713,no
40916,no
92862,si
62477,no
72614,no
101502,no
19981,no
69875,no
95604,no
84676,no
62450,no
101540,no
2355,no
70982,no
31073,no
105393,si
66716,no
59057,no
34790,no
108109,no
38866,no
8160,no
23834,no
32604,no
90374,no
112858,no
68332,no
79462,no
71988,no
82494,no
26095,no
22882,no
69321,no
37968,no
107787,no
71071,si
67937,si
71303,no
113275,si
53801,no
101544,no
115761,no
22491,no
31857,no
35304,no
